2026-05-26 08:52:24  INFO      sigomei.server — Iniciando servidor SIGOMEI…
2026-05-26 08:52:24  INFO      sigomei.server — Archivo de bitácora: D:\sigomei\logs\sigomei_20260526_085224.log
2026-05-26 08:52:24  INFO      sigomei.server — Controlador registrado → PYRO:sigomei.controller@localhost:9090
2026-05-26 08:52:24  INFO      sigomei.server — Esperando peticiones en localhost:9090 …
2026-05-26 08:53:35  INFO      sigomei.server — Solicitud remota recibida: alta_equipo | Parámetros: 
2026-05-26 08:53:36  INFO      sigomei.server — Operación exitosa: alta_equipo | Respuesta: True
2026-05-26 08:53:36  INFO      sigomei.server — Solicitud remota recibida: alta_tecnico | Parámetros: 
2026-05-26 08:53:36  INFO      sigomei.server — Operación exitosa: alta_tecnico | Respuesta: True
2026-05-26 08:53:36  INFO      sigomei.server — Solicitud remota recibida: crear_orden | Parámetros: 
2026-05-26 08:53:36  INFO      sigomei.server — Operación exitosa: crear_orden | Respuesta: True
2026-05-26 08:53:36  INFO      sigomei.server — Solicitud remota recibida: asignar_tecnico | Parámetros: ('ORD-001', 'TEC-002')
2026-05-26 08:53:37  INFO      sigomei.server — Operación exitosa: asignar_tecnico | Respuesta: True
2026-05-26 08:53:37  INFO      sigomei.server — Solicitud remota recibida: crear_orden | Parámetros: 
2026-05-26 08:53:37  INFO      sigomei.server — Operación exitosa: crear_orden | Respuesta: True
2026-05-26 08:53:37  INFO      sigomei.server — Solicitud remota recibida: asignar_tecnico | Parámetros: ('ORD-002', 'TEC-002')
2026-05-26 08:53:37  INFO      sigomei.server — Operación exitosa: asignar_tecnico | Respuesta: True
2026-05-26 08:53:37  INFO      sigomei.server — Solicitud remota recibida: crear_orden | Parámetros: 
2026-05-26 08:53:37  INFO      sigomei.server — Operación exitosa: crear_orden | Respuesta: True
2026-05-26 08:53:37  INFO      sigomei.server — Solicitud remota recibida: asignar_tecnico | Parámetros: ('ORD-003', 'TEC-002')
2026-05-26 08:53:38  INFO      sigomei.server — Operación exitosa: asignar_tecnico | Respuesta: True
2026-05-26 08:53:38  INFO      sigomei.server — Solicitud remota recibida: crear_orden | Parámetros: 
2026-05-26 08:53:38  INFO      sigomei.server — Operación exitosa: crear_orden | Respuesta: True
2026-05-26 08:53:38  INFO      sigomei.server — Solicitud remota recibida: asignar_tecnico | Parámetros: ('ORD-004', 'TEC-002')
2026-05-26 08:53:38  INFO      sigomei.server — Operación exitosa: asignar_tecnico | Respuesta: True
2026-05-26 08:53:38  INFO      sigomei.server — Solicitud remota recibida: iniciar_ejecucion | Parámetros: ('ORD-001', '2026-06-11')
2026-05-26 08:53:39  INFO      sigomei.server — Operación exitosa: iniciar_ejecucion | Respuesta: True
2026-05-26 08:53:39  INFO      sigomei.server — Solicitud remota recibida: iniciar_ejecucion | Parámetros: ('ORD-002', '2026-06-12')
2026-05-26 08:53:39  INFO      sigomei.server — Operación exitosa: iniciar_ejecucion | Respuesta: True
2026-05-26 08:53:39  INFO      sigomei.server — Solicitud remota recibida: listar_ordenes_por_filtro | Parámetros: ({'estado_orden': 'Programada'},)
2026-05-26 08:53:39  INFO      sigomei.server — Operación exitosa: listar_ordenes_por_filtro | Respuesta: [{'id_orden': 'ORD-003', 'id_equipo': 'EQ-001', 'id_tecnico': 'TEC-002', 'tipo_mantenimiento': 'Preventivo', 'fecha_programada': datetime.date(2026, 6, 13), 'fecha_inicio': None, 'fecha_cierre': None, 'descripcion_trabajo': 'Revision 3', 'costo_estimado': Decimal('1000.00'), 'costo_real': None, 'estado_orden': 'Programada'}, {'id_orden': 'ORD-004', 'id_equipo': 'EQ-001', 'id_tecnico': 'TEC-002', 'tipo_mantenimiento': 'Preventivo', 'fecha_programada': datetime.date(2026, 6, 14), 'fecha_inicio': None, 'fecha_cierre': None, 'descripcion_trabajo': 'Revision 4', 'costo_estimado': Decimal('1000.00'), 'costo_real': None, 'estado_orden': 'Programada'}]
2026-05-26 08:53:39  INFO      sigomei.server — Solicitud remota recibida: listar_ordenes_por_filtro | Parámetros: ({'estado_orden': 'En ejecucion'},)
2026-05-26 08:53:39  INFO      sigomei.server — Operación exitosa: listar_ordenes_por_filtro | Respuesta: [{'id_orden': 'ORD-001', 'id_equipo': 'EQ-001', 'id_tecnico': 'TEC-002', 'tipo_mantenimiento': 'Preventivo', 'fecha_programada': datetime.date(2026, 6, 11), 'fecha_inicio': datetime.date(2026, 6, 11), 'fecha_cierre': None, 'descripcion_trabajo': 'Revision 1', 'costo_estimado': Decimal('1000.00'), 'costo_real': None, 'estado_orden': 'En ejecucion'}, {'id_orden': 'ORD-002', 'id_equipo': 'EQ-001', 'id_tecnico': 'TEC-002', 'tipo_mantenimiento': 'Preventivo', 'fecha_programada': datetime.date(2026, 6, 12), 'fecha_inicio': datetime.date(2026, 6, 12), 'fecha_cierre': None, 'descripcion_trabajo': 'Revision 2', 'costo_estimado': Decimal('1000.00'), 'costo_real': None, 'estado_orden': 'En ejecucion'}]
